name,category,age_min,age_max,depth_min_L,depth_max_L,problem,model,scale_note,does,does_not,source_url
ABCmouse (Age of Learning),early-childhood,2,8,0,0,early literacy/numeracy gap,paid subscription,~50M children lifetime; ~$750M raised; $1B+ valuation,Game-like reading/math/art/science curriculum for ages 2-8,No live tutoring or district assessment products,https://www.crunchbase.com/organization/age-of-learning
Khan Academy Kids,early-childhood,2,8,0,0,early literacy/numeracy gap,free (nonprofit),Backed by Khan Academy ($117.5M FY25 rev; 77% philanthropic),Free ad-free early literacy/math/SEL app,No ads/paid tier; no formal assessment,https://www.khanacademy.org/kids
Duolingo ABC,early-childhood,3,7,0,0,early literacy (learn-to-read),free (loss-leader),Part of Duolingo Inc (NASDAQ DUOL); free no ads,Free phonics/letter-tracing learn-to-read app,No foreign-language teaching; no paid tier,https://play.google.com/store/apps/details?id=com.duolingo.literacy
Lingokids,early-childhood,2,8,0,0,early literacy/numeracy gap,freemium subscription,185M families reached; ~$186M raised incl $120M Series D 2025,Playlearning app: English/math/literacy/science/SEL games,No older K-12 students; no live classes,https://bullhoundcapital.com/articles/bullhound-capital-leads-lingokids-120m-round/
Homer (Begin),early-childhood,2,8,0,0,early literacy/numeracy gap,paid subscription,Owned by Begin; Begin raised $50M in 2023,Personalized early reading/math/SEL app,No K-12 academics; no tutoring,https://www.crunchbase.com/organization/learn-with-homer
Khan Academy,k12-platform,5,18,0,2,learning crisis (content mastery),free (nonprofit),$117.5M FY25 revenue; 77% philanthropic,Free videos+practice across K-12 subjects (some early college),No live instruction; no marketplace; no frontier/research,https://www.khanacademy.org
Khanmigo,ai-tutor,5,18,0,2,personalization / 2-sigma tutoring,freemium ($4/mo learners; free teachers),Free to US teachers via Microsoft partnership,GPT-powered AI tutor/TA for K-12 subjects,Does not reach undergrad+ depth or research; bounded to curriculum,https://www.khanmigo.ai/pricing
IXL Learning,k12-platform,5,18,1,1,learning crisis (skill mastery),paid (consumer + institutional),17M+ students; 1M+ teachers,Adaptive K-12 practice across math/ELA/science/social studies,No video lectures; no live tutoring,https://www.myengineeringbuddy.com/blog/ixl-learning-reviews-pricing-2026-honest-look/
Duolingo,k12-language,8,99,0,2,language access; motivation/engagement,freemium,130M MAU; 10.3M paid subs; $230M/qtr (NASDAQ DUOL),Gamified language (+math/music) learning,No school-curriculum subjects; no live human classes,https://www.sec.gov/Archives/edgar/data/0001562088/000156208825000098/q1fy25duolingo3-31x25press.htm
Outschool,k12-live,3,18,0,2,enrichment / live small-group access,marketplace (30% commission),~$3B valuation 2021; ~$240M raised; ~$200M ARR,Marketplace of live small-group online classes by indie teachers,Produces no curriculum; not self-paced,https://research.contrary.com/company/outschool
DreamBox (Discovery Education),k12-adaptive,5,18,1,1,learning crisis (math/reading),institutional licenses,~6M students; acquired by Discovery Education 2023,Adaptive K-12 math and reading for schools,Not direct-to-consumer; no live tutoring,https://www.discoveryeducation.com/details/clearlake-capital-backed-discovery-education-completes-acquisition-of-dreambox-learning/
